id;commentaire;date_disponibilite;commandable;valeur
1;Electronics Bedfordshire program;2020-12-02T20:43:00;true;A_PARAITRE
2;bypassing Home Loan Account;2020-12-03T02:21:15;false;A_PARAITRE
3;Sports;2020-12-02T15:09:14;false;EPUISE
4;Dynamic generate Awesome;2020-12-03T05:01:01;false;EN_COURS_DE_REIMPRESSION
5;calculate wireless Forks;2020-12-03T06:13:38;true;DISPONIBLE
6;calculating best-of-breed Plastic;2020-12-03T03:43:52;true;EPUISE
7;customized magenta Executive;2020-12-02T12:55:40;false;A_PARAITRE
8;Latvia;2020-12-02T20:42:39;false;EPUISE
9;bypassing Optimization;2020-12-03T10:26:00;true;NON_DISPONIBLE_PROVISOIREMENT
10;USB transmitting Colombia;2020-12-03T01:18:29;true;DISPONIBLE
