id;ean;description;titre;duree
1;quantifyingXX;Alley Practical Fresh Towels;Divide repurpose Auto Loan Account;synthesize Corporate
2;Checking Acco;orange;Falls;Consultant Legacy
3;Awesome Garde;Metal Pants;Steel Washington;Lead
4;sensorXXXXXXX;Tools;circuit deposit;B2C Movies
5;Analyst Garde;Licensed tan;solution Tuna Cambridgeshire;Games Computers
6;Tools digital;Generic Wooden Gloves;Agent navigate;Exclusive
7;Fully-configu;Tuna Salad Garden;Optimization;Quality
8;Fully-configu;SCSI Personal Loan Account;TCP;mesh Customer-focused Liaison
9;Rubber Intell;infrastructures Automotive Wooden;monitor Cove;bypass
10;Mississippi e;granular EXE;Comoro Franc Cambridgeshire communities;cross-platform Radial IB
