id;libelle;terme;concept
1;blue Views;azure;hard drive Movies solid state
2;Money Market Account red;Cheese Checking Account Light;navigating
3;vertical Botswana USB;implement;Nicaragua override Usability
4;Cotton 1080p;Sleek leverage Bahamian Dollar;Toys
5;GB out-of-the-box Usability;Optional SCSI Applications;encoding hack generating
6;productize;application Keyboard Nebraska;program panel generate
7;program Soft;Solomon Islands Dollar auxiliary Mississippi;cyan Dynamic enterprise
8;Kuwait Personal Loan Account;Ball;Buckinghamshire
9;index Director Costa Rican Colon;Cambridgeshire;violet
10;Response;Fantastic;CFP Franc mint green cyan
