id;ean_libraire;quantite_minimale_achat;prescripteur;libelle;prix_ht;adoptant;duree;reference_editeur;type;is_3_ans
1;SAS payment b;78988;false;Future-proofed;89145;true;Savings Account Advanced overriding;Borders Buckinghamshire next generation;Steel;false
2;Personal Loan;17927;false;Rubber Bedfordshire;15722;false;bypassing;XSS mint green bandwidth;ADP Optimization HTTP;false
3;HumanXXXXXXXX;82240;false;Generic Intelligent Metal;80855;true;sky blue;El Salvador;Pants PNG Puerto Rico;false
4;drive Avon Sm;47367;false;Mouse;28969;false;Computer;SAS Home Loan Account;front-end microchip;false
5;Delaware Conc;51243;true;Consultant overriding alarm;24995;true;European Unit of Account 9(E.U.A.-9) Security Alabama;Personal Loan Account Shoes;ADP District payment;true
6;scalable Gran;19903;false;Agent;85728;false;program;24/365 Incredible;Accountability Intranet non-volatile;true
7;MarketsXXXXXX;81543;false;Bedfordshire Movies;51121;true;HTTP Re-contextualized indigo;program optimal;real-time;true
8;bluetooth par;65657;false;Cotton synthesizing;32005;false;maximize;Industrial Computers Borders;open system;true
9;Sausages Alas;63460;false;data-warehouse connect;76351;true;Designer;web-enabled Function-based matrix;Minnesota;true
10;Fantastic Ass;39172;false;Facilitator;24814;true;Montana Lebanese Pound;Executive Corporate Chilean Peso Unidades de fomento;bus SAS Borders;false
