id;technologie;version_reader;available_hors_ent;available_via_ent;available_via_gar;type_licence_gar;can_use_offline;one_clic;export_cle_usb;deploiement_masse;configuration_mini_os;need_flash;annotations;creation_cours;web_adaptatif;marque_page;capture_image;zoom;fonctions_recherche;corriges_pour_enseignants;assignation_taches_eleves;partage_contenu_eleves;exercices_interactifs;exercices_auto_corriges;export_reponses_eleves;import_document;export_document;export_scorm;personnalisation_user_interface;modif_contenu_editorial;dispositif_dys;nb_maxi_install;nb_max_simult_connexions;messagerie;niveau_rgaa;niveau_a_2_rne;conforme_sco_lomfr;conforme_scorm;conforme_ims_qti;conformex_api;format_video;ts_last_modif;configuration_mini_navigateur;parcours_eleve_personnalise;gestion_groupes_eleve;personnalisation_cont_enseign;edition_formule_math;correct_travail_eleve_par_enseign;suivi_eleve;commentaire
1;WINDOWS;Licensed plug-and-play Accounts;false;false;false;TRANSFERABLE;true;false;true;true;Generic Maine;true;false;false;false;false;false;false;true;true;true;false;true;true;true;false;false;false;false;true;false;Home Loan Account Cotton deposit;JBOD Money Market Account Holy See (Vatican City State);true;dot-com Bike Chips;2950;false;true;true;true;Illinois hacking Credit Card Account;80407;Expanded Eritrea;true;false;true;true;false;false;capacitor Home Loan Account Shirt
2;MAC_OS;programming Mali;true;true;true;NON_TRANFERABLE;false;false;true;false;Licensed Fresh Ball Borders magenta;true;false;false;false;true;true;false;true;true;true;true;false;true;false;false;true;true;true;true;true;Sausages Vermont;transmitting Architect;false;Libyan Dinar back-end incentivize;62116;true;false;false;true;Markets payment;77108;Jewelery;true;false;true;false;true;true;Awesome Plastic Towels deposit Profound
3;MAC_OS;Producer Bacon;true;false;true;TRANSFERABLE;true;false;true;false;Ergonomic;false;false;true;true;false;true;true;true;false;true;false;false;true;true;true;false;false;true;false;false;Bahamian Dollar Credit Card Account;optimal;true;Applications transform Licensed;49391;true;true;false;false;Cambridgeshire Human;3463;Rwanda Franc withdrawal Synergized;false;false;true;false;true;false;Leone
4;SMARTPHONE;24/365;true;true;true;TRANSFERABLE;true;true;true;false;invoice Garden Cheese;true;true;true;false;false;false;false;false;false;true;true;false;true;true;false;false;false;false;true;true;Sleek Wooden Salad;Consultant Crossroad seamless;false;driver panel Executive;14407;false;true;true;true;neutral District deliverables;44755;solid state Credit Card Account initiatives;true;false;true;true;true;false;Refined
5;ANDROID_TABLETTE;supply-chains Fresh;true;false;false;NON_TRANFERABLE;false;true;true;false;primary;true;false;false;false;false;true;false;false;false;true;true;true;true;false;true;true;true;true;true;false;Boliviano Mvdol EXE Sharable;Personal Loan Account;true;Cedi Home Loan Account;74689;true;false;true;false;Taka Virtual;99261;visualize calculate Senior;true;false;false;true;true;false;AGP Small Soft Bike Plastic
6;ANDROID_TABLETTE;approach;false;false;false;NON_TRANFERABLE;true;false;true;false;Designer Car user-centric;false;false;true;true;false;true;true;false;true;true;true;false;true;true;true;true;false;false;false;true;input Bedfordshire;niches Small Fresh;false;Rustic Fresh Fish;54432;false;true;true;true;orchestrate calculating Suriname;87827;uniform;true;false;false;true;true;false;front-end
7;WINDOWS;facilitate;false;false;true;NON_TRANFERABLE;true;false;true;false;Avon;false;true;false;true;true;false;false;false;false;true;true;false;true;false;false;false;false;false;true;false;core Executive productize;schemas Strategist Awesome;true;attitude-oriented;7110;true;true;true;true;channels transmit;39843;Refined hard drive;true;true;false;false;false;false;Credit Card Account Soft
8;SMARTPHONE;Berkshire groupware;false;false;false;TRANSFERABLE;true;false;true;false;Interactions;false;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;false;intangible portals Algeria;Chicken;false;Money Market Account Naira;18724;true;true;true;false;magenta;24405;Tennessee;false;false;true;false;true;true;THX
9;CHROME_OS;Practical mission-critical mobile;true;false;false;TRANSFERABLE;false;true;true;true;payment deposit;false;true;false;false;true;true;false;true;true;true;false;false;true;true;true;false;false;true;false;true;Jewelery Bacon Cross-platform;Generic Functionality panel;true;Berkshire Response Programmable;85419;true;false;false;false;Small Tasty;87742;Auto Loan Account;false;true;true;false;false;false;Congo Money Market Account
10;SMARTPHONE;withdrawal;false;true;false;NON_TRANFERABLE;true;true;true;false;experiences Liaison panel;false;false;true;false;false;true;true;false;false;false;true;true;false;true;false;false;true;false;true;false;Forest Kenya;Licensed Granite Shoes Balanced Object-based;false;Inlet panel programming;99580;false;true;true;false;reboot;94078;Shirt mesh Analyst;true;false;false;false;true;false;copy B2C
